Player,Finals_MVP
Michael Jordan,6
LeBron James,4
Tim Duncan,3
Magic Johnson,3
Shaquille O'Neal,3
Kareem Abdul-Jabbar,2
Larry Bird,2
Kobe Bryant,2
Kevin Durant,2
Kawhi Leonard,2
Hakeem Olajuwon,2
Willis Reed,2
Rick Barry,1
Chauncey Billups,1
Wilt Chamberlain,1
Joe Dumars,1
John Havlicek,1
Andre Iguodala,1
Dennis Johnson,1
Moses Malone,1
Cedric Maxwell,1
Dirk Nowitzki,1
Tony Parker,1
Paul Pierce,1
Isiah Thomas,1
Wes Unseld,1
Dwyane Wade,1
Bill Walton,1
Jerry West,1
Jo Jo White,1
James Worthy,1
