Player,DPOY
Dikembe Mutombo,4
Ben Wallace,4
Dwight Howard,3
Mark Eaton,2
Rudy Gobert,2
Kawhi Leonard,2
Sidney Moncrief,2
Alonzo Mourning,2
Hakeem Olajuwon,2
Dennis Rodman,2
Giannis Antetokounmpo,1
Marcus Camby,1
Tyson Chandler,1
Michael Cooper,1
Kevin Garnett,1
Marc Gasol,1
Draymond Green,1
Michael Jordan,1
Joakim Noah,1
Gary Payton,1
Alvin Robertson,1
David Robinson,1
Metta World Peace,1
