Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Allen Iverson,9,9,239,48,116,0.414,4,6,0.667,44,110,0.4,30,39,0.769,7,16,23,56,21,1,38,6,130,,26.5,14.4,2.6,6.2
George Gervin,9,7,215,54,108,0.5,1,1,1,53,107,0.495,28,36,0.778,9,24,33,12,16,9,20,25,137,,23.9,15.2,3.7,1.3
Charles Barkley,9,7,209,45,91,0.495,3,12,0.25,42,79,0.532,20,32,0.625,22,38,60,16,12,4,20,18,113,,23.2,12.6,6.7,1.8
Lenny Wilkens,9,3,182,30,75,0.4,,,,30,75,0.4,25,32,0.781,,,22,26,,,,15,85,,20.2,9.4,2.4,2.9
Robert Parish,9,1,142,36,68,0.529,0,0,,36,68,0.529,14,21,0.667,16,37,53,8,4,8,10,15,86,,15.8,9.6,5.9,0.9
James Harden,9,6,230,51,114,0.447,39,95,0.411,12,19,0.632,2,4,0.5,5,37,42,52,7,3,30,12,143,,25.6,15.9,4.7,5.8
Jason Kidd,9,5,209,21,40,0.525,11,23,0.478,10,17,0.588,5,6,0.833,3,28,31,69,24,0,23,7,58,,23.2,6.4,3.4,7.7
Alex English,8,4,148,36,72,0.5,0,0,,36,72,0.5,1,2,0.5,9,9,18,15,6,4,12,8,73,,18.5,9.1,2.3,1.9
Bill Sharman,8,4,194,40,104,0.385,,,,40,104,0.385,22,27,0.815,,,31,16,,,,16,102,,24.3,12.8,3.9,2
Dominique Wilkins,8,3,159,38,95,0.4,2,8,0.25,36,87,0.414,28,38,0.737,16,11,27,15,6,4,8,13,106,,19.9,13.3,3.4,1.9
Dave DeBusschere,8,1,167,37,81,0.457,,,,37,81,0.457,3,4,0.75,2,1,51,11,1,0,,12,77,,20.9,9.6,6.4,1.4
Bob Lanier,8,0,121,32,55,0.582,0,0,,32,55,0.582,10,12,0.833,14,22,45,12,4,5,2,15,74,,15.1,9.3,5.6,1.5
Dwight Howard,8,6,186,43,67,0.642,2,13,0.154,41,54,0.759,9,20,0.45,26,44,70,12,5,9,10,20,97,,23.3,12.1,8.8,1.5
Dikembe Mutombo,8,3,140,22,37,0.595,0,0,,22,37,0.595,6,8,0.75,24,50,74,2,3,10,12,14,50,,17.5,6.3,9.3,0.3
Kyrie Irving,7,5,184,54,92,0.587,18,41,0.439,36,51,0.706,3,4,0.75,16,26,42,64,7,1,13,13,129,,26.3,18.4,6,9.1
Harry Gallatin,7,,,19,41,0.463,,,,19,41,0.463,19,27,0.704,,,65,16,,,,17,57,,,8.1,9.3,2.3
Jerry Lucas,7,6,183,35,64,0.547,,,,35,64,0.547,19,21,0.905,,,64,12,,,,20,89,,26.1,12.7,9.1,1.7
Vince Carter,7,5,144,31,65,0.477,6,16,0.375,25,49,0.51,3,5,0.6,6,12,18,13,6,1,13,7,71,,20.6,10.1,2.6,1.9
Rick Barry,7,6,195,54,111,0.486,,,,54,111,0.486,20,24,0.833,7,14,29,31,16,1,5,30,128,,27.9,18.3,4.1,4.4
Dave Bing,7,3,125,16,43,0.372,,,,16,43,0.372,9,9,1,2,7,16,16,0,0,,7,41,,17.9,5.9,2.3,2.3
Steve Nash,7,2,130,12,28,0.429,2,8,0.25,10,20,0.5,0,1,0,6,8,14,47,3,1,13,7,26,,18.5,3.7,2,6.7
Jack Sikma,7,0,147,24,51,0.471,0,2,0,24,49,0.49,7,8,0.875,12,30,42,11,9,7,6,20,55,,21,7.9,6,1.6
Scottie Pippen,7,6,173,34,77,0.442,7,22,0.318,27,55,0.491,10,16,0.625,8,31,39,17,17,6,16,8,85,,24.7,12.1,5.6,2.4
Willis Reed,7,4,161,38,84,0.452,,,,38,84,0.452,12,16,0.75,,,58,7,,,,20,88,,23,12.6,8.3,1
Tracy McGrady,7,6,171,47,94,0.5,13,37,0.351,34,57,0.596,13,21,0.619,7,14,21,27,11,3,14,6,120,,24.4,17.1,3,3.9
LaMarcus Aldridge,7,1,82,14,38,0.368,4,5,0.8,10,33,0.303,0,0,,5,15,20,4,1,3,2,0,32,,11.7,4.6,2.9,0.6
Dick McGuire,7,,,12,31,0.387,,,,12,31,0.387,5,12,0.417,,,23,38,,,,11,29,,,4.1,3.3,5.4
Walt Frazier,7,7,183,35,78,0.449,,,,35,78,0.449,18,21,0.857,1,8,27,26,9,0,,10,88,,26.1,12.6,3.9,3.7
Larry Foust,7,,,17,54,0.315,,,,17,54,0.315,15,16,0.938,,,49,3,,,,16,49,,,7,7,0.4
