,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game
Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Danny Ainge,1,0,19,4,11,.364,3,4,.750,1,7,.143,1,2,.500,1,2,3,2,1,0,1,1,12,,19.0,12.0,3.0,2.0
Sam Cassell,1,0,14,2,3,.667,0,0,,2,3,.667,0,0,,0,1,1,7,1,0,1,0,4,,13.8,4.0,1.0,7.0
Calvin Murphy,1,0,15,3,5,.600,,,,3,5,.600,0,0,,0,1,1,5,2,0,4,4,6,,15.0,6.0,1.0,5.0
James Donaldson,1,0,8,0,0,,0,0,,0,0,,2,2,1.000,1,5,6,1,0,2,0,2,2,,8.0,2.0,6.0,1.0
Christian Laettner,1,0,24,3,5,.600,0,0,,3,5,.600,1,1,1.000,4,7,11,2,1,1,2,4,7,,24.0,7.0,11.0,2.0
Jeff Teague,1,0,13,6,9,.667,2,2,1.000,4,7,.571,0,0,,0,1,1,2,2,0,1,0,14,,13.5,14.0,1.0,2.0
Mark Jackson,1,0,16,3,5,.600,1,1,1.000,2,4,.500,2,4,.500,1,1,2,4,1,1,2,1,9,,16.0,9.0,2.0,4.0
Tom Gugliotta,1,0,19,3,7,.429,0,1,.000,3,6,.500,3,4,.750,1,7,8,3,2,0,3,3,9,,19.0,9.0,8.0,3.0
Cazzie Russell,1,0,20,4,13,.308,,,,4,13,.308,2,2,1.000,,,1,0,,,,1,10,,20.0,10.0,1.0,0.0
Dale Ellis,1,1,26,12,16,.750,1,1,1.000,11,15,.733,2,2,1.000,3,3,6,2,0,0,2,2,27,,26.0,27.0,6.0,2.0
World B. Free,1,1,21,7,13,.538,0,0,,7,13,.538,0,1,.000,1,2,3,5,0,1,5,1,14,,21.0,14.0,3.0,5.0
Don Barksdale,1,0,11,0,1,.000,,,,0,1,.000,1,3,.333,,,3,2,,,,0,1,,11.0,1.0,3.0,2.0
Bill Bradley,1,0,12,2,5,.400,,,,2,5,.400,0,0,,,,1,0,,,,2,4,,12.0,4.0,1.0,0.0
Luke Jackson,1,1,15,2,5,.400,,,,2,5,.400,1,2,.500,,,1,1,,,,4,5,,15.0,5.0,1.0,1.0
Nick Van Exel,1,0,20,5,14,.357,1,6,.167,4,8,.500,2,2,1.000,1,2,3,2,0,0,2,0,13,,20.0,13.0,3.0,2.0
Carlos Boozer,1,0,19,7,15,.467,0,0,,7,15,.467,0,2,.000,4,6,10,0,0,0,1,0,14,,18.5,14.0,10.0,0.0
Ray Felix,1,1,32,4,8,.500,,,,4,8,.500,5,5,1.000,,,11,1,,,,4,13,,32.0,13.0,11.0,1.0
Danny Granger,1,0,11,1,1,1.000,0,0,,1,1,1.000,0,0,,1,0,1,0,2,0,1,0,2,,10.7,2.0,1.0,0.0
D'Angelo Russell,1,0,12,2,5,.400,2,5,.400,0,0,,0,0,,0,1,1,3,0,0,1,0,6,,12.1,6.0,1.0,3.0
Jim Price,1,0,17,3,9,.333,,,,3,9,.333,2,2,1.000,0,2,2,0,2,0,,4,8,,17.0,8.0,2.0,0.0
Kevin Willis,1,0,14,4,10,.400,0,0,,4,10,.400,0,0,,4,0,4,0,0,0,0,1,8,,14.0,8.0,4.0,0.0
Anthony Mason,1,1,20,0,3,.000,0,0,,0,3,.000,0,0,,2,2,4,1,1,0,2,2,0,,20.0,0.0,4.0,1.0
Bob Harrison,1,0,25,2,7,.286,,,,2,7,.286,1,2,.500,,,0,1,,,,4,5,,25.0,5.0,0.0,1.0
Otis Thorpe,1,0,4,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,2,,4.0,2.0,0.0,0.0
Bob Boozer,1,1,19,2,5,.400,,,,2,5,.400,0,0,,,,5,0,,,,0,4,,19.0,4.0,5.0,0.0
Shareef Abdur-Rahim,1,0,21,4,4,1.000,1,1,1.000,3,3,1.000,0,0,,1,5,6,0,0,0,0,2,9,,21.0,9.0,6.0,0.0
Clyde Lee,1,0,18,2,8,.250,,,,2,8,.250,2,4,.500,,,11,2,,,,3,6,,18.0,6.0,11.0,2.0
Zion Williamson,1,1,14,5,9,.556,0,0,,5,9,.556,0,0,,1,0,1,0,0,0,0,0,10,,14.0,10.0,1.0,0.0
