,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game
Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Manu Ginóbili,2,0,42,5,13,.385,0,5,.000,5,8,.625,5,6,.833,3,3,6,6,4,1,5,6,15,,21.1,7.5,3.0,3.0
Kevin Duckworth,2,0,26,4,8,.500,0,0,,4,8,.500,3,4,.750,3,2,5,0,1,0,2,5,11,,13.0,5.5,2.5,0.0
Dennis Rodman,2,0,36,4,11,.364,0,0,,4,11,.364,0,0,,10,7,17,1,1,1,4,2,8,,18.0,4.0,8.5,0.5
Brandon Roy,2,0,60,15,18,.833,2,3,.667,13,15,.867,0,0,,1,13,14,10,1,1,0,4,32,,29.9,16.0,7.0,5.0
Glenn Robinson,2,0,35,9,17,.529,0,0,,9,17,.529,0,0,,3,7,10,1,1,1,0,0,18,,17.5,9.0,5.0,0.5
Khris Middleton,2,0,45,9,20,.450,7,15,.467,2,5,.400,0,0,,4,2,6,6,0,0,1,0,25,,22.4,12.5,3.0,3.0
Gus Williams,2,1,41,12,28,.429,0,1,.000,12,27,.444,4,4,1.000,3,0,3,13,2,0,5,2,28,,20.5,14.0,1.5,6.5
Jack George,2,0,42,5,13,.385,,,,5,13,.385,4,4,1.000,,,4,7,,,,2,14,,21.0,7.0,2.0,3.5
John Drew,2,1,24,1,7,.143,0,0,,1,7,.143,4,5,.800,2,4,6,0,2,0,3,7,6,,12.0,3.0,3.0,0.0
Jim Paxson,2,0,31,10,16,.625,0,0,,10,16,.625,1,2,.500,1,2,3,3,2,0,4,0,21,,15.5,10.5,1.5,1.5
Domantas Sabonis,2,0,37,1,3,.333,0,0,,1,3,.333,2,4,.500,4,3,7,1,0,0,1,0,4,,18.5,2.0,3.5,0.5
Zach Randolph,2,0,32,7,16,.438,0,0,,7,16,.438,0,0,,4,7,11,2,2,0,1,2,14,,16.2,7.0,5.5,1.0
Donovan Mitchell,2,0,42,9,22,.409,4,12,.333,5,10,.500,0,0,,0,9,9,8,3,1,2,2,22,,21.1,11.0,4.5,4.0
Danny Manning,2,0,35,9,12,.750,0,0,,9,12,.750,0,0,,1,7,8,3,0,1,0,5,18,,17.5,9.0,4.0,1.5
Luol Deng,2,0,23,4,12,.333,1,5,.200,3,7,.429,1,1,1.000,0,2,2,2,0,0,2,0,10,,11.5,5.0,1.0,1.0
Joe Fulks,2,,,9,22,.409,,,,9,22,.409,7,10,.700,,,12,5,,,,7,25,,,12.5,6.0,2.5
